Sample_ID,sample,id_seq,site,plot,core,extraction_replicate,id_cropped,site_c,dist_to_core,m_temp_dia,temp_vert,m_moisture,m_depth,m_conductivity,m_graminoid,m_forbs,m_bryo,lichen,litter,rock,bare_ground,m_dwarf,cushion,crust,m_total_cover,m_pH,m_CEC,m_TOC,m_TN,Silt,Sand,Mn_AO,Fe_DCB,Clay,BD,Resin-P_MEAN,NH4_MEAN,NO3_MEAN,m_plant_shannon,m_mean_qPCR_16s,m_mean_qPCR_ITS,m_ratio,m_microbe_shannon,CO2fluxlight,CO2fluxdark,CH4fluxlight,CH4fluxdark,ResinP,NaHCO3P,NaOHP,HClP,TotP,ITS_Observed,rel_ab_ascomycota,rel_ab_basidiomycota,m_ratio_BasidiomycotaAscomycota,m_fungi_shannon
AD-T-BP-01-AO-D2-1_R1_trimmed_fastp_filterAndTrim.fastq.gz,AD-T-BP-01-AO-D2-1_R1_trimmed_fastp_filterAndTrim.fastq.gz,337111_099-AD-T-BP-01_A-O_D2-1_S17,ADT,1,yes,1,AD-T-BP-01-A-O-D2-1_S85_L001_R1_001.cropped.fastq.gz ,tundra_core,19.097,6.2,4,14.7,15.92,0,5,1,60,0.5,25,NA,NA,75,NA,0.5,167,6.038,6.365,10.335,0.873,66.843,15.827,0.088,11.302,17.83,0.749,NA,9.9,0.5,1.228942062,6298523521,591673494.4,0.093938443,7.319381476,0.001631616,0.001887547,-7.80E-07,-4.61E-07,15.145,9.48,27.863,196.61,249.098,358,0.758556595,0.241443405,0.318293198,4.103769419
AD-T-BP-01-AO-D2-2_R1_trimmed_fastp_filterAndTrim.fastq.gz,AD-T-BP-01-AO-D2-2_R1_trimmed_fastp_filterAndTrim.fastq.gz,337111_100-AD-T-BP-01_A-O_D2-2_S5,ADT,1,yes,2,AD-T-BP-01-A-O-D2-2_S86_L001_R1_001.cropped.fastq.gz ,tundra_core,19.097,6.2,4,14.7,15.92,0,5,1,60,0.5,25,NA,NA,75,NA,0.5,167,6.038,6.365,10.335,0.873,66.843,15.827,0.088,11.302,17.83,0.749,NA,9.9,0.5,1.228942062,5574076746,743935900.9,0.13346352,7.292060787,0.001631616,0.001887547,-7.80E-07,-4.61E-07,15.145,9.48,27.863,196.61,249.098,361,0.73681475,0.26318525,0.357193243,4.050454383
AD-T-BP-01-AO-D2-3_R1_trimmed_fastp_filterAndTrim.fastq.gz,AD-T-BP-01-AO-D2-3_R1_trimmed_fastp_filterAndTrim.fastq.gz,337111_101-AD-T-BP-01_A-O_D2-3_S74,ADT,1,yes,3,AD-T-BP-01-A-O-D2-3_S87_L001_R1_001.cropped.fastq.gz ,tundra_core,19.097,6.2,4,14.7,15.92,0,5,1,60,0.5,25,NA,NA,75,NA,0.5,167,6.038,6.365,10.335,0.873,66.843,15.827,0.088,11.302,17.83,0.749,NA,9.9,0.5,1.228942062,4199764331,835389826.9,0.198913501,7.44272629,0.001631616,0.001887547,-7.80E-07,-4.61E-07,15.145,9.48,27.863,196.61,249.098,383,0.780570728,0.219429272,0.281113888,4.113738256
AD-T-BP-02-AO-D2-1_R1_trimmed_fastp_filterAndTrim.fastq.gz,AD-T-BP-02-AO-D2-1_R1_trimmed_fastp_filterAndTrim.fastq.gz,337111_089-AD-T-BP-02_A-O_D2-1_S69,ADT,2,yes,1,AD-T-BP-02-A-O-D2-1_S75_L001_R1_001.cropped.fastq.gz ,tundra_core,10.719,7.2,5.6,30.4,10.06,0.04,2,2,50,3,3,NA,NA,65,NA,7,132,6.131,6.523,10.928,0.894,60.193,26.126,0.119,9.177,14.073,0.713,NA,6.6,0.9,1.123792486,7291340791,2026754501,0.277967326,7.510086236,0.000714708,0.001780017,-4.59E-07,-5.12E-07,9.017,7.602,24.07,180.12,220.808,347,0.331636342,0.668363658,2.015351076,3.406361242
AD-T-BP-02-AO-D2-2_R1_trimmed_fastp_filterAndTrim.fastq.gz,AD-T-BP-02-AO-D2-2_R1_trimmed_fastp_filterAndTrim.fastq.gz,337111_090-AD-T-BP-02_A-O_D2-2_S68,ADT,2,yes,2,AD-T-BP-02-A-O-D2-2_S76_L001_R1_001.cropped.fastq.gz ,tundra_core,10.719,7.2,5.6,30.4,10.06,0.04,2,2,50,3,3,NA,NA,65,NA,7,132,6.131,6.523,10.928,0.894,60.193,26.126,0.119,9.177,14.073,0.713,NA,6.6,0.9,1.123792486,5218396468,1764673778,0.338163991,7.551613165,0.000714708,0.001780017,-4.59E-07,-5.12E-07,9.017,7.602,24.07,180.12,220.808,293,0.250727465,0.749272535,2.988394337,2.728744547
AD-T-BP-02-AO-D2-3_R1_trimmed_fastp_filterAndTrim.fastq.gz,AD-T-BP-02-AO-D2-3_R1_trimmed_fastp_filterAndTrim.fastq.gz,337111_091-AD-T-BP-02_A-O_D2-3_S40,ADT,2,yes,3,AD-T-BP-02-A-O-D2-3_S77_L001_R1_001.cropped.fastq.gz ,tundra_core,10.719,7.2,5.6,30.4,10.06,0.04,2,2,50,3,3,NA,NA,65,NA,7,132,6.131,6.523,10.928,0.894,60.193,26.126,0.119,9.177,14.073,0.713,NA,6.6,0.9,1.123792486,4412761801,1267361802,0.287203765,7.568083475,0.000714708,0.001780017,-4.59E-07,-5.12E-07,9.017,7.602,24.07,180.12,220.808,239,0.145240456,0.854759544,5.885133982,1.838944572
AD-T-BP-03-AO-D2-1_R1_trimmed_fastp_filterAndTrim.fastq.gz,AD-T-BP-03-AO-D2-1_R1_trimmed_fastp_filterAndTrim.fastq.gz,337111_074-AD-T-BP-03_A-O_D2-1_S24,ADT,3,yes,1,AD-T-BP-03-A-O-D2-1_S60_L001_R1_001.cropped.fastq.gz ,tundra_core,11.602,7.6,6.4,22.2,8.74,0,2,0.5,5,5,0.5,NA,NA,35,4,50,102,5.785,6.936,11.788,0.943,57.168,30.683,0.101,8.676,12.862,0.651,0.3,5.8,1.8,1.245507969,5591905911,1085347564,0.194092601,7.055903915,0.000995418,0.001161683,-6.58E-07,-4.71E-07,11.989,7.988,27.011,175.36,222.348,308,0.477740733,0.522259267,1.09318555,2.8256877
AD-T-BP-03-AO-D2-2_R1_trimmed_fastp_filterAndTrim.fastq.gz,AD-T-BP-03-AO-D2-2_R1_trimmed_fastp_filterAndTrim.fastq.gz,337111_075-AD-T-BP-03_A-O_D2-2_S81,ADT,3,yes,2,AD-T-BP-03-A-O-D2-2_S61_L001_R1_001.cropped.fastq.gz ,tundra_core,11.602,7.6,6.4,22.2,8.74,0,2,0.5,5,5,0.5,NA,NA,35,4,50,102,5.785,6.936,11.788,0.943,57.168,30.683,0.101,8.676,12.862,0.651,0.3,5.8,1.8,1.245507969,6144176779,1537120567,0.250175186,7.083645584,0.000995418,0.001161683,-6.58E-07,-4.71E-07,11.989,7.988,27.011,175.36,222.348,321,0.430164599,0.569835401,1.324691529,3.145161686
AD-T-BP-03-AO-D2-3_R1_trimmed_fastp_filterAndTrim.fastq.gz,AD-T-BP-03-AO-D2-3_R1_trimmed_fastp_filterAndTrim.fastq.gz,337111_078-AD-T-BP-03_A-O_D2-3_S112,ADT,3,yes,3,AD-T-BP-03-A-O-D2-3_S64_L001_R1_001.cropped.fastq.gz ,tundra_core,11.602,7.6,6.4,22.2,8.74,0,2,0.5,5,5,0.5,NA,NA,35,4,50,102,5.785,6.936,11.788,0.943,57.168,30.683,0.101,8.676,12.862,0.651,0.3,5.8,1.8,1.245507969,6523029146,1855762790,0.284494021,7.512543555,0.000995418,0.001161683,-6.58E-07,-4.71E-07,11.989,7.988,27.011,175.36,222.348,358,0.394219965,0.605780035,1.536654885,3.511539848
AD-T-BP-05-1_S2086,AD-T-BP-05-1_S2086,337111_016-AD-T-BP-05_O-A-1_S82,ADT,5,no,1,AD-T-BP-05-O-A-1_S4_L001_R1_001.cropped.fastq.gz ,tundra_gradient,253.45,7,6.4,20.1,4.76,0.09,95,0,0.5,0,8,1,NA,0,NA,NA,104.5,5.527,3.849,5.146,0.442,63.278,16.867,0.225,12.977,20.458,1.193,NA,NA,NA,NA,,NA,NA,6.533573543,NA,NA,NA,NA,NA,NA,NA,NA,NA,380,0.569479599,0.430520401,0.755989155,3.669521321
